隐藏,公益站,每日签到,状态,评分,注册,邀请制,模型质量,体验感,其他,其他2·白嫖org,其他3·飞书合集,其他4·幻城导航,验证,模型,响应,渠道状态,注册链接,签到地址
,kktoken,20刀,无效,,,,只有claude,,,"白嫖org:kktoken 注册送 100 额度、每日签到送 20，目前提供 claude-opus-4-8、claude-opus-4-8-thinking、claude-opus-5、claude-opus-5-thinking 四款 claude opus 模型。 | 标签:免费api,claude,claude opus,claude code,注册送额度,每日签到",,,,,,,https://kktoken.cc/sign-up?aff=2drd,https://kktoken.cc/profile
,gorouter,8刀,有效,NPC,50刀,,,,调用经常错误，不稳定，PRM时高时低,"白嫖org:gorouter 是一套 new api 风格的模型控制台：当前可用 github 登录，注册开关与签到功能都处于开启状态，控制台提供令牌、用量记录、模型和兑换入口。公开状态没有列出固定赠送额度或可用模型，先登录核对再接客户端。 | 标签:公益api,github登录,每日签到,apikey,newapi","飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",,,,,,https://gorouter.app/sign-up?aff=ZIS8,https://gorouter.app/profile
,anyrouter,,有效,夯,,,用国模，别用好模型，速度一般,,用github直接每天免费用，不用签到,"白嫖org:chatanywhere公益站脱胎自 github 上 38.7k star 的老牌仓库 gpt_api_free——不用在站上注册账号密码，拿自己的 github 账号做一次 oauth 授权，就能领到一份长期有效的免费 key，跑 gpt、claude、deepseek、gemini 等一众主流模型。免费档按模型分了次数，够日常写代码、跑脚本用。 | 标签:免费api,github oauth,gpt,claude,deepseek,免注册","飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用) [夯] anyrouter最近用不了",,,,,,https://chatanywhere.tech/console/overview,https://chatanywhere.tech/console/overview
,justwoker,,有效,夯,,,模型很全,,,"白嫖org:justwoker 是一个签到送额度的公益 api，每日签到可随机获得额度。注册需要 github 账号且账号年限满一年。 | 标签:免费api,签到送额度,github 验证","飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",,,,,,https://api.justwoker.icu/register?aff=troQ,https://api.justwoker.icu/dashboard/overview
,辉哥1,50-100 次,无效,夯,50次,100次,,,,,"飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",,,,,,https://lzhiyu.ccwu.cc/register?ref=REF-FD7D72CFB8,https://lzhiyu.ccwu.cc/dashboard
,辉哥2,50-100 次,无效,夯,50次,100次,,,,,"飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",,,,,,http://781391.cc.cd/register?ref=REF-D058C0F05B,http://781391.cc.cd/dashboard
,辉哥3,15刀,无效,夯,30刀,,,,,,"飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用) [夯] 辉哥（3）是最近开的新站，模型还没那么多，目前站点在内测阶段",,,,,,https://7891vip.cc.cd/login?view=reg&aff=evgQ,https://7891vip.cc.cd/console
,MiaoMu,2刀,,,2刀,2刀,模型很全,,价格还算便宜，几美元就能跑几百万token，十几个美元几千万token,,,幻城导航:注册两美元，签到两美元，邀请人两美元，但是价格还算便宜，几美元就能跑几百万token，十几个美元几千万token | 社区评分5.0,8.29,,,,https://xiaomuai.cn/register?aff=9BN0,https://xiaomuai.cn/dashboard
,斑马,0.4刀,无效,拉,,不充值无返利,模型很全,,,"白嫖org:把 claude max、chatgpt pro、codex、gemini 这些会员号拼成号池对外开的公益站，一个网关同时吃 openai / anthropic / gemini 三种协议，还留了个免费的 gpt-5.5 pro 池。签到送积分，自己建 key 选对号池就能薅满血 opus-4-8 和 gpt-5.5。 | 标签:免费api,claude,gemini,codex,号池,每日签到",,,,,,,https://bmapi.020212.xyz/register?aff=SZ52TQ9UP8QY,https://bmapi.020212.xyz/keys
,beizhi,10-100橘子,有效,NPC,30橘,20橘子,,快，体验不错,太不耐蹬了，多攒攒；网站卡卡的,,,,,,,,https://beizhi.sylu.cc/sign-up?aff=hgzY,https://beizhi.sylu.cc/profile
,chuan,10-100刀,有效,,100刀,50刀,有claude-fable5，其他的模型拉,fable5是15s，评分不慢,,"白嫖org:chuan公益api 提供签到和邀请额度，签到最高送 50、邀请送 50；站点会在模型报错时尝试切换兜底模型，gemini 系列严禁用于编程或大型任务。 | 标签:免费api,签到额度,邀请奖励,openai兼容,gemini限制","飞书合集档位:NPC(能签尽量签,蚊子再小也是肉)",,,,,,https://chuan.sylu.cc/sign-up?aff=EZfA,https://chuan.sylu.cc/profile
,tabi,10刀,有效,,100刀,20刀,,,太不耐蹬了，多攒攒,"白嫖org:tabitoken 是一条专攻 claude opus 全家桶的公益 api 线路，claude-opus-4-8、claude-opus-4-8-thinking、claude-opus-5、claude-opus-5-thinking 四款一次挂齐。正常注册送 $100 新人额度，通过本页 aff 邀请入口注册还能额外拿 $20 邀请额度。 | 标签:免费api,claude,claude opus,claude code,注册送额度,邀请送额度","飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",,,,,,https://tabitoken.com/sign-up?aff=NvjM,https://tabitoken.com/dashboard/overview
,哈基米,10元左右,无效,顶级,100元,,模型中上,,耐蹬,"白嫖org:不堆国产凑数、专挂一线旗舰的公益免费 api 站，claude opus 4.8、gemini 3.1 pro、gpt-5.5、grok 4.3 全在，模型多到要自己拉列表。注册送 100 元、每天签到再随机加，openai 兼容直连。就是免费余额够不着最贵那几个，得挑便宜款薅。 | 标签:免费api,claude,gemini,gpt,grok,注册送额度,每日签到","飞书合集档位:NPC(能签尽量签,蚊子再小也是肉)",,,,,,https://api.gemai.cc/sign-up?aff=8UV9MlGM,https://api.gemai.cc/profile
,聚合api,0.5刀以内,无效,拉,0,不充值无返利,模型很全,,,"白嫖org:模型杂、可生图、跑了挺久没掉链子的公益免费大站。每天签到攒点小额额度，综合倍率 0.2–0.8 偏低，拿来当长期挂着的通用备用正合适。openai 兼容直连。 | 标签:免费api,聚合,生图,每日签到,低倍率",,,,,,,https://aiyiwei.vip/register?aff=nFd2,https://aiyiwei.vip/console
,年华,0.5刀以内,无效,拉,0,不充值无返利,,,,,,,,,,,https://us-3.nianhuaapi.com/sign-up?aff=mqso,https://us-3.nianhuaapi.com/profile
,帮帮程序员,100刀,无效,,200刀,,,,,"白嫖org:注册连邮箱都不用、上来送 200 美元还能每天签到再领 60 的公益免费 api 站，挂的全是 gpt-5 / codex 一整挂编程模型，openai 兼容直连，拿去喂 codex cli、cursor 这类编程工具正合适。 | 标签:免费api,gpt-5,codex,编程白嫖,注册送额度,每日签到",,幻城导航:注册就送两百刀，然后邀请人送60刀，只支持gpt，模型测试目前看很真实，然后价格也很正，邀请一个人用五个亿token没问题，新网站速速白嫖,,,,,https://helpcoder.cc/register?aff=3y6d,https://helpcoder.cc/console/personal
,free,200刀,无效,,200刀,200刀,gpt和claude,,,,,,,,,,https://free.lyclaude.site/register?aff=yjxO,https://free.lyclaude.site/console/personal
,熊猫,,有效,饭多是夯,100饭,100饭,模型很全,快，体验不错,太不耐蹬了，还不能签到；是注册公司,"白嫖org:熊猫api 按本次活动口径为新人注册赠送 200 额度、邀请用户赠送 🍚100；公开模型表覆盖 claude、gemini、deepseek、gpt 等大量模型，并兼容 openai 与 anthropic 接口。 | 标签:免费api,注册送额度,邀请奖励,claude code,gemini,deepseek,gpt",,幻城导航:新用户送两百刀，邀请人又是一百刀，但是这个东西的很多模型貌似有映射，而且价格是按一千token计费，不是一百万token计费，不过送的邀请额度还挺多，试试吧,,,,,https://api520.pro/register?aff=vXoD,https://api520.pro/console
,baaAI,,有效,夯,5刀,不充值无返利,codex-auto-review就是gpt5.6sol,快，体验不错,耐蹬,,"飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用) [夯] Baaaai官方说每天免费送5-10美元，需要申请，目前我还在测试中，胆大的可以去试试",,,,,,https://www.baaaai.com/register?aff=25RQ8K3XYREH,https://www.baaaai.com/keys
,VyceAI,10刀,有效,顶级,50刀,10刀,免费档的模型：luna、sonnet4.6、dsf,,还需要认证discord；英文网站看着很高级,,"飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",幻城导航:通过链接注册送50刀，claude grok4.6 国模都有 半公益，每日签到5-50刀，需要discord或者谷歌账号验证,,,,,https://vyceai.com/signup?ref=VYCE_G8KE59,https://vyceai.com/dashboard-v2
,TX API,,有效,顶级,,,模型使用free相关的。提供ds和glm5.3flash基本免费 有破甲的ds,,免费那还说啥了,,,,,,,,https://ai.txcxgzs.com/sign-up?aff=bFwh,
,哈基米,10-100元,有效,NPC,100元,,模型很全,快，体验不错,瞪得太快了,"白嫖org:不堆国产凑数、专挂一线旗舰的公益免费 api 站，claude opus 4.8、gemini 3.1 pro、gpt-5.5、grok 4.3 全在，模型多到要自己拉列表。注册送 100 元、每天签到再随机加，openai 兼容直连。就是免费余额够不着最贵那几个，得挑便宜款薅。 | 标签:免费api,claude,gemini,gpt,grok,注册送额度,每日签到","飞书合集档位:NPC(能签尽量签,蚊子再小也是肉)",,,,,,https://api.gemai.cc/sign-up?aff=8UV9MlGM,https://api.gemai.cc/profile
